scenario,allocation,entry_date,expiry_date,weighted_pnl_before_stt_points,weighted_exercise_stt_points,weighted_pnl_after_stt_points,weighted_return_after_stt,defensive_short_intrinsic_points,growth_short_intrinsic_points,defensive_itm_short_legs,growth_itm_short_legs
harsh_stress,def_full_resg0_ovg50,2022-03-21,2022-03-24,53.084999999999994,0.0,53.084999999999994,0.0622617609458017,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2022-05-30,2022-06-02,0.38249999999999573,0.0,0.38249999999999573,0.0004565828503900301,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2022-07-06,2022-07-14,47.175,0.0,47.175,0.05848986423656314,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2022-07-07,2022-07-14,17.550000000000008,0.0,17.550000000000008,0.021239259348904766,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2022-07-20,2022-07-28,0.18749999999999462,0.01546875,0.1720312499999946,0.00020736025312640603,8.25,8.25,1,1
harsh_stress,def_full_resg0_ovg50,2022-07-21,2022-07-28,11.445000000000004,0.0,11.445000000000004,0.013783012392066193,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2022-10-17,2022-10-20,8.46,0.0,8.46,0.009587923296613628,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2022-10-19,2022-10-27,15.494999999999997,0.0,15.494999999999997,0.017654699374480158,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2022-10-20,2022-10-27,-3.427500000000003,0.0,-3.427500000000003,-0.0038498907653167283,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2022-10-31,2022-11-03,-6.082500000000002,0.0,-6.082500000000002,-0.006456629390003772,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2024-02-01,2024-02-08,10.672499999999998,0.0,10.672499999999998,0.00987385337015501,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2024-03-27,2024-04-04,-4.5825000000000005,0.0,-4.5825000000000005,-0.004016020261950563,0.0,0.0,0,0
harsh_stress,def_full_resg0_ovg50,2024-05-15,2024-05-23,9.359999999999992,0.0,9.359999999999992,0.00827030465823142,0.0,0.0,0,0
