trade_date,expiry_date,days_to_expiry,strike,option_type,open,high,low,close,settle_pr,contracts,val_inlakh,open_int,chg_in_oi,has_traded
2024-07-05,2024-09-26,83,25200.0,PE,0.0,0.0,0.0,1230.15,1043.05,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25250.0,PE,0.0,0.0,0.0,1262.15,1073.15,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25300.0,PE,0.0,0.0,0.0,1294.55,1103.7,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25350.0,PE,0.0,0.0,0.0,1327.35,1134.75,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25400.0,PE,0.0,0.0,0.0,1360.6,1166.2,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25450.0,PE,0.0,0.0,0.0,1394.2,1198.15,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25500.0,PE,1004.4,1150.0,1004.4,1073.65,1073.65,126,838.78,6100,2150,True
2024-07-05,2024-09-26,83,25550.0,PE,0.0,0.0,0.0,1462.65,1263.3,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25600.0,PE,0.0,0.0,0.0,1497.5,1296.55,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25650.0,PE,0.0,0.0,0.0,1532.65,1330.2,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25700.0,PE,0.0,0.0,0.0,1568.25,1364.25,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25750.0,PE,0.0,0.0,0.0,1604.15,1398.75,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25800.0,PE,0.0,0.0,0.0,1640.45,1433.65,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25850.0,PE,0.0,0.0,0.0,1678.2,1468.95,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25900.0,PE,0.0,0.0,0.0,1715.3,1504.65,0,0.0,0,0,False
2024-07-05,2024-09-26,83,25950.0,PE,0.0,0.0,0.0,1752.75,1540.7,0,0.0,0,0,False
2024-07-05,2024-09-26,83,26000.0,PE,1535.0,1566.9,1421.0,1426.55,1426.55,846,5815.23,161175,2075,True
2024-07-05,2024-09-26,83,26050.0,PE,0.0,0.0,0.0,1827.6,1615.15,0,0.0,0,0,False
2024-07-05,2024-09-26,83,27000.0,PE,2427.05,2454.0,2298.8,2314.5,2314.5,143,1050.54,273850,1250,True
2024-07-05,2024-09-26,83,28000.0,PE,3349.0,3400.0,3243.0,3273.15,3273.15,28,219.3,7275,300,True
2024-07-05,2024-09-26,83,29000.0,PE,4350.0,4350.0,4350.0,4350.0,4218.35,1,8.33,100,25,True
2024-07-05,2024-12-26,174,14000.0,CE,10500.0,10500.0,10500.0,10500.0,10500.0,1,6.12,100,0,True
2024-07-05,2024-12-26,174,15000.0,CE,9475.0,9495.0,9465.0,9481.25,9481.25,12,73.41,15550,0,True
2024-07-05,2024-12-26,174,16000.0,CE,0.0,0.0,0.0,6951.0,8871.1,0,0.0,21800,0,False
2024-07-05,2024-12-26,174,17000.0,CE,7500.0,7611.3,7480.0,7600.0,7600.0,7,42.94,22425,-75,True
2024-07-05,2024-12-26,174,18000.0,CE,6668.75,6710.0,6636.6,6650.0,6650.0,54,332.87,63050,-1025,True
2024-07-05,2024-12-26,174,18500.0,CE,0.0,0.0,0.0,5494.25,6459.75,0,0.0,1050,0,False
2024-07-05,2024-12-26,174,19000.0,CE,5699.65,5754.85,5624.95,5681.65,5681.65,59,363.98,109975,75,True
2024-07-05,2024-12-26,174,20000.0,CE,4739.8,4829.95,4728.9,4799.8,4799.8,371,2296.02,303675,275,True
2024-07-05,2024-12-26,174,21000.0,CE,3835.2,3934.3,3800.0,3898.8,3898.8,210,1305.34,479050,975,True
2024-07-05,2024-12-26,174,22000.0,CE,2925.0,3050.0,2892.65,3019.4,3019.4,285,1777.91,438850,-300,True
2024-07-05,2024-12-26,174,23000.0,CE,2133.4,2206.0,2070.0,2165.35,2165.35,1428,8971.91,510325,975,True
2024-07-05,2024-12-26,174,24000.0,CE,1392.9,1448.4,1340.0,1428.15,1428.15,2323,14744.18,663950,2825,True
2024-07-05,2024-12-26,174,25000.0,CE,762.65,825.0,742.25,810.35,810.35,3416,22020.61,979250,5350,True
2024-07-05,2024-12-26,174,26000.0,CE,365.05,399.0,343.95,389.45,389.45,6664,43942.06,1206375,26625,True
2024-07-05,2024-12-26,174,27000.0,CE,146.8,165.0,141.1,156.65,156.65,1565,10623.8,498525,8275,True
2024-07-05,2024-12-26,174,28000.0,CE,60.05,64.95,53.8,61.0,61.0,1031,7232.4,205100,1850,True
2024-07-05,2024-12-26,174,29000.0,CE,0.0,0.0,0.0,140.7,169.6,0,0.0,0,0,False
2024-07-05,2024-12-26,174,14000.0,PE,9.05,9.05,9.05,9.05,0.0,1,3.5,1875,-25,True
2024-07-05,2024-12-26,174,15000.0,PE,0.0,0.0,0.0,15.4,0.0,0,0.0,24550,0,False
2024-07-05,2024-12-26,174,16000.0,PE,0.0,0.0,0.0,20.0,0.05,0,0.0,16900,0,False
2024-07-05,2024-12-26,174,17000.0,PE,23.9,26.05,23.9,24.85,24.85,61,259.63,87950,-675,True
2024-07-05,2024-12-26,174,18000.0,PE,30.15,34.8,30.15,32.45,32.45,298,1343.39,566725,-675,True
