Date,Ticker,EventDate,Source,Purpose,Company,SourceUrl,FetchedAtIST
2025-01-15,AIIL,2025-01-15,NSE corporates-financial-results quarterly,Third Quarter,Authum Investment & Infrastructure Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,AIRAN,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Airan Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-13,AIROLAM,2025-02-13,NSE corporates-financial-results quarterly,Third Quarter,Airo Lam limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-30,AJANTPHARM,2025-01-30,NSE corporates-financial-results quarterly,Third Quarter,Ajanta Pharma Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-03-10,AJAXENGG,2025-03-10,NSE corporates-financial-results quarterly,Third Quarter,Ajax Engineering Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-04,AJMERA,2025-02-04,NSE corporates-financial-results quarterly,Third Quarter,Ajmera Realty & Infra India Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-13,AJOONI,2025-02-13,NSE corporates-financial-results quarterly,Third Quarter,Ajooni Biotech Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-13,AJRINFRA,2025-02-13,NSE corporates-financial-results quarterly,Third Quarter,AJR INFRA AND TOLLING LIMITED,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-15,AKASH,2025-02-15,NSE corporates-financial-results quarterly,Third Quarter,Akash Infra Projects Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-23,AKG,2025-01-23,NSE corporates-financial-results quarterly,Third Quarter,Akg Exim Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
